mutantIndex;mutantType;mutationTime;buildingTime
1;1;4213;14089
2;28;4133;8386
3;38;3849;12872
4;26;4161;13335
5;9;4153;13517
6;29;4575;14319
7;23;4581;13511
8;3;4354;13436
9;37;4643;14939
10;32;4543;13412
11;31;4241;12778
12;4;3960;13152
13;5;4423;13497
14;8;3981;13144
15;27;3951;13619
16;2;3831;13464
17;6;4078;13342
18;33;4116;13358
19;10;3877;8376
20;7;4055;13211
21;19;4229;13269
22;22;4233;13546
23;36;4509;13182
24;1;4607;14072
25;1;4144;13472
26;1;4294;13839
27;1;4267;14323
28;28;3915;13005
29;28;3873;8527
30;28;3946;8255
31;28;3750;8322
32;28;3868;8043
33;28;3851;8153
34;28;3817;8319
35;28;3721;8326
36;28;3903;8255
37;28;3909;12892
38;28;3944;13440
39;28;4093;8659
40;28;4030;8632
41;28;3959;8669
42;28;4055;8428
43;28;4075;14440
44;28;4049;13214
45;28;4074;13299
46;28;4140;13584
47;28;3920;13366
48;28;4116;13571
49;28;4099;13267
50;28;3951;8775
